fid,ADM_DR_CD,ADM_DR_NM,count,평균고도,최소,최대값,최대-최소
1,3811111,동읍,7359,60.90041077,0.495977014,542.1727295,541.6767525
2,3811131,북면,9124,94.18144691,0.446582824,616.6000366,616.1534538
3,3811132,대산면,4165,5.701854473,0.494853318,66.25815582,65.76330251
4,3811151,의창동,1029,148.0889951,15.35187721,622.8945313,607.542654
5,3811152,팔룡동,1674,38.28065843,0.736468017,242.6940918,241.9576238
6,3811153,명곡동,800,55.025928,2.944926739,240.1917267,237.2467999
7,3811154,봉림동,1514,133.4512241,3.855075836,515.145813,511.2907372
8,3811155,용지동,324,36.46373964,18.89714813,54.94059753,36.0434494
9,3811251,반송동,254,24.39133575,4.540642738,94.31134033,89.77069759
10,3811252,중앙동,676,16.52034772,2.927948475,82.45949554,79.53154707
11,3811253,상남동,144,26.72398734,13.88564014,52.02690887,38.14126873
12,3811254,사파동,1008,209.1953431,28.19293976,627.4434204,599.2504807
13,3811255,가음정동,363,36.40282546,12.88105679,86.23506927,73.35401249
14,3811256,성주동,3055,246.3402672,18.60285378,772.9570923,754.3542385
15,3811257,웅남동,4710,103.8486043,0,548.7695923,548.7695923
16,3811331,구산면,5466,65.9873876,0,272.0334473,272.0334473
17,3811332,진동면,4032,141.8806225,0,677.2114868,677.2114868
18,3811333,진북면,5775,200.136676,3.409918308,726.8526611,723.4427428
19,3811334,진전면,9690,196.7760379,0,738.4603882,738.4603882
20,3811351,현동,2397,123.2939089,0,501.741333,501.741333
21,3811352,가포동,669,61.55622324,0,291.139679,291.139679
22,3811353,월영동,340,54.93957029,0,235.0342865,235.0342865
23,3811354,문화동,288,94.91914523,0,481.068512,481.068512
24,3811357,완월동,341,239.0309925,7.733595371,604.1295166,596.3959212
25,3811358,자산동,143,99.6122014,5.914849758,345.526886,339.6120362
26,3811364,합포동,74,10.583552,0.330271482,67.09877014,66.76849866
27,3811365,산호동,113,11.18751355,0.358156651,62.65886688,62.30071023
28,3811366,반월중앙동,127,33.56496103,1.886960626,226.7826538,224.8956932
29,3811367,오동동,225,10.46242881,0,119.7602081,119.7602081
30,3811368,교방동,330,237.8315039,16.67021179,650.5167236,633.8465118
31,3811411,내서읍,6927,237.1042321,41.69382095,732.3024902,690.6086693
32,3811451,회원1동,86,32.79933774,15.31626701,80.76287079,65.44660378
33,3811452,회원2동,424,233.6735954,36.67019272,681.8519897,645.181797
34,3811455,회성동,1179,202.4747922,29.93644333,710.5639038,680.6274605
35,3811456,양덕1동,106,50.1825298,7.526566982,212.3070679,204.7805009
36,3811457,양덕2동,207,21.35614076,1.565797091,173.1191406,171.5533435
37,3811458,합성1동,660,183.6744922,23.8734417,491.5962524,467.7228107
38,3811459,합성2동,232,81.98609667,17.09783173,277.0237427,259.9259109
39,3811460,구암1동,290,162.0200687,30.63472557,483.1031189,452.4683933
40,3811461,구암2동,95,54.46611025,26.93865395,128.7934418,101.8547878
41,3811462,봉암동,797,87.73101113,0,303.2374268,303.2374268
42,3811463,석전동,233,52.87757749,15.31779575,249.0662994,233.7485037
43,3811554,여좌동,647,227.2317352,12.47667694,575.6500854,563.1734085
44,3811555,태백동,104,36.45627072,6.53295517,136.755188,130.2222328
45,3811556,경화동,378,121.1099257,0,540.6673584,540.6673584
46,3811557,병암동,123,57.11619623,1.493467093,346.7323914,345.2389243
47,3811558,석동,295,107.8531328,5.589571953,415.8879395,410.2983675
48,3811559,이동,99,10.06403774,0,27.12024117,27.12024117
49,3811560,자은동,665,253.7693823,15.54807091,671.5406494,655.9925785
50,3811561,덕산동,346,63.68641117,0,479.7689209,479.7689209
51,3811562,풍호동,1009,93.10584045,0,483.8075256,483.8075256
52,3811563,웅천동,3565,79.05802654,0,618.5787354,618.5787354
53,3811564,웅동1동,4053,229.0775081,0,763.2478638,763.2478638
54,3811565,웅동2동,1934,61.61597729,0,401.8391724,401.8391724
55,3811566,충무동,2283,79.19850032,0,405.0654297,405.0654297
